#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.90e+01    3.54e+01      8.36e-01    8.23e-01      9.16e-01    1.12e+00    1.0e-03
   1000      1.76e+01    1.23e+01      3.41e-02    2.34e-02      5.57e-01    3.89e-01    1.0e-03
   2000      1.35e+01    8.06e+00      5.34e-02    8.39e-02      4.28e-01    2.55e-01    1.0e-03
   3000      1.18e+01    8.25e+00      8.13e-02    7.86e-02      3.72e-01    2.61e-01    1.0e-03
   4000      9.35e+00    9.80e+00      2.15e-02    1.21e-02      2.96e-01    3.10e-01    1.0e-03
   5000      7.62e+00    6.84e+00      6.12e-02    6.11e-02      2.47e-01    2.22e-01    9.5e-04
   6000      5.77e+00    6.87e+00      9.00e-02    1.18e-01      1.87e-01    2.23e-01    9.5e-04
   7000      6.05e+00    6.77e+00      3.28e-02    5.98e-02      1.96e-01    2.20e-01    9.5e-04
   8000      6.21e+00    6.06e+00      5.80e-03    7.48e-03      2.01e-01    1.97e-01    9.5e-04
   9000      1.01e+01    3.72e+00      3.07e-02    4.18e-03      3.27e-01    1.21e-01    9.5e-04
  10000      6.31e+00    4.92e+00      6.04e-02    1.24e-02      2.10e-01    1.64e-01    9.0e-04
  11000      4.58e+00    4.30e+00      8.10e-03    1.97e-02      1.52e-01    1.43e-01    9.0e-04
  12000      6.36e+00    5.47e+00      3.78e-02    2.78e-02      2.12e-01    1.82e-01    9.0e-04
  13000      4.30e+00    3.51e+00      2.80e-02    2.79e-02      1.43e-01    1.17e-01    9.0e-04
  14000      5.24e+00    3.47e+00      1.95e-02    2.44e-02      1.75e-01    1.15e-01    9.0e-04
  15000      5.52e+00    5.06e+00      2.45e-02    2.55e-02      1.88e-01    1.73e-01    8.6e-04
  16000      4.46e+00    4.32e+00      7.14e-02    2.56e-02      1.52e-01    1.48e-01    8.6e-04
  17000      3.29e+00    3.64e+00      1.39e-02    1.26e-02      1.12e-01    1.24e-01    8.6e-04
  18000      2.91e+00    2.74e+00      4.32e-02    3.88e-02      9.94e-02    9.34e-02    8.6e-04
  19000      3.77e+00    3.91e+00      6.27e-02    6.47e-02      1.29e-01    1.33e-01    8.6e-04
  20000      3.95e+00    2.13e+00      3.87e-02    4.23e-02      1.38e-01    7.47e-02    8.1e-04
  21000      3.84e+00    3.73e+00      2.48e-03    1.29e-02      1.35e-01    1.31e-01    8.1e-04
  22000      2.51e+00    2.64e+00      3.95e-02    2.72e-02      8.78e-02    9.23e-02    8.1e-04
  23000      3.26e+00    2.95e+00      7.46e-03    7.71e-03      1.14e-01    1.03e-01    8.1e-04
  24000      6.26e+00    2.36e+00      1.89e-02    1.18e-02      2.19e-01    8.25e-02    8.1e-04
  25000      2.18e+00    2.07e+00      2.67e-02    4.60e-03      7.84e-02    7.43e-02    7.7e-04
  26000      2.40e+00    1.94e+00      9.76e-03    6.17e-03      8.62e-02    6.97e-02    7.7e-04
  27000      2.36e+00    2.38e+00      2.69e-02    2.63e-02      8.47e-02    8.57e-02    7.7e-04
  28000      2.48e+00    2.50e+00      1.35e-02    8.53e-03      8.90e-02    8.98e-02    7.7e-04
  29000      3.22e+00    1.83e+00      1.07e-02    7.23e-03      1.16e-01    6.59e-02    7.7e-04
  30000      2.53e+00    2.35e+00      1.31e-02    1.68e-02      9.33e-02    8.67e-02    7.4e-04
  31000      2.16e+00    2.21e+00      1.49e-02    1.69e-02      7.97e-02    8.14e-02    7.4e-04
  32000      2.25e+00    1.99e+00      1.69e-02    1.98e-02      8.28e-02    7.33e-02    7.4e-04
  33000      4.34e+00    3.88e+00      8.16e-02    8.98e-02      1.60e-01    1.43e-01    7.4e-04
  34000      2.22e+00    1.39e+00      1.34e-02    1.44e-02      8.19e-02    5.14e-02    7.4e-04
  35000      2.35e+00    2.15e+00      6.95e-03    6.11e-03      8.89e-02    8.13e-02    7.0e-04
  36000      2.63e+00    2.87e+00      9.00e-03    2.94e-03      9.94e-02    1.08e-01    7.0e-04
  37000      3.75e+00    3.60e+00      2.35e-02    1.91e-02      1.42e-01    1.36e-01    7.0e-04
  38000      2.43e+00    2.12e+00      1.93e-03    1.65e-03      9.21e-02    8.01e-02    7.0e-04
  39000      2.17e+00    1.66e+00      9.84e-03    2.53e-03      8.20e-02    6.26e-02    7.0e-04
  40000      2.04e+00    1.86e+00      6.36e-03    2.98e-02      7.91e-02    7.23e-02    6.6e-04
  41000      2.17e+00    2.21e+00      5.01e-03    4.25e-03      8.44e-02    8.59e-02    6.6e-04
  42000      1.48e+00    1.59e+00      6.70e-03    6.53e-03      5.73e-02    6.16e-02    6.6e-04
  43000      2.37e+00    2.14e+00      1.16e-02    1.13e-02      9.18e-02    8.31e-02    6.6e-04
  44000      1.77e+00    2.05e+00      1.01e-02    1.80e-02      6.89e-02    7.95e-02    6.6e-04
  45000      1.84e+00    1.29e+00      1.45e-03    1.69e-03      7.34e-02    5.12e-02    6.3e-04
  46000      2.77e+00    1.25e+00      8.25e-03    5.31e-03      1.10e-01    4.98e-02    6.3e-04
  47000      2.62e+00    2.28e+00      4.71e-03    5.68e-03      1.04e-01    9.10e-02    6.3e-04
  48000      1.64e+00    1.43e+00      4.16e-03    4.63e-03      6.52e-02    5.70e-02    6.3e-04
  49000      1.69e+00    1.23e+00      4.41e-03    5.74e-03      6.75e-02    4.88e-02    6.3e-04
  50000      1.60e+00    1.80e+00      4.09e-03    2.05e-02      6.54e-02    7.34e-02    6.0e-04
  51000      1.71e+00    2.35e+00      3.24e-02    1.94e-02      6.99e-02    9.60e-02    6.0e-04
  52000      1.30e+00    1.37e+00      4.74e-03    7.16e-03      5.31e-02    5.61e-02    6.0e-04
  53000      1.76e+00    1.12e+00      6.65e-03    7.69e-03      7.19e-02    4.59e-02    6.0e-04
  54000      1.70e+00    1.18e+00      8.01e-03    9.28e-03      6.93e-02    4.83e-02    6.0e-04
  55000      1.39e+00    1.24e+00      1.43e-02    1.51e-02      5.82e-02    5.18e-02    5.7e-04
  56000      1.85e+00    1.65e+00      7.33e-03    6.39e-03      7.75e-02    6.93e-02    5.7e-04
  57000      1.24e+00    1.68e+00      9.66e-03    9.42e-03      5.21e-02    7.05e-02    5.7e-04
  58000      1.64e+00    1.64e+00      3.38e-02    3.05e-02      6.86e-02    6.85e-02    5.7e-04
  59000      1.52e+00    1.18e+00      3.97e-03    3.48e-03      6.36e-02    4.93e-02    5.7e-04
  60000      2.03e+00    1.97e+00      6.26e-03    5.07e-03      8.74e-02    8.47e-02    5.4e-04
  61000      1.53e+00    2.08e+00      1.43e-02    1.82e-02      6.56e-02    8.93e-02    5.4e-04
  62000      1.42e+00    1.29e+00      3.88e-03    1.05e-02      6.13e-02    5.53e-02    5.4e-04
  63000      2.79e+00    1.96e+00      1.54e-02    1.98e-02      1.20e-01    8.42e-02    5.4e-04
  64000      1.46e+00    1.42e+00      4.40e-03    3.22e-03      6.29e-02    6.09e-02    5.4e-04
  65000      1.61e+00    1.58e+00      9.84e-03    7.71e-03      7.10e-02    6.96e-02    5.1e-04
  66000      1.38e+00    1.20e+00      9.19e-03    8.56e-03      6.09e-02    5.29e-02    5.1e-04
  67000      1.40e+00    1.00e+00      6.12e-03    6.31e-03      6.16e-02    4.42e-02    5.1e-04
  68000      1.09e+00    7.11e-01      5.37e-03    5.00e-03      4.80e-02    3.14e-02    5.1e-04
  69000      1.14e+00    1.50e+00      1.78e-02    1.80e-02      5.01e-02    6.61e-02    5.1e-04
