#Position, DFT_FES_PMF, DPMD_FES_PMF
1.399999999999999911e+00 1.391160128115686412e+01 8.140384749874813863e+00
1.405210420841683350e+00 1.342527694874496369e+01 7.848329959134843214e+00
1.410420841683366566e+00 1.293895261633308458e+01 7.556275168394884112e+00
1.415631262525050005e+00 1.245262828392118415e+01 7.264220377654913463e+00
1.420841683366733443e+00 1.196630395150928372e+01 6.980767072268620588e+00
1.426052104208416660e+00 1.147997961909740461e+01 6.708453395455137525e+00
1.431262525050100098e+00 1.099365528668550418e+01 6.448877630338251343e+00
1.436472945891783537e+00 1.050733095427360553e+01 6.196053654481316286e+00
1.441683366733466753e+00 1.002100662186172464e+01 5.959994472441316304e+00
1.446893787575150192e+00 9.534682289449825987e+00 5.728104041268937685e+00
1.452104208416833631e+00 9.048357957037925559e+00 5.513505228415353621e+00
1.457314629258516847e+00 8.562033624626046446e+00 5.304660878904721599e+00
1.462525050100200286e+00 8.075709292214146018e+00 5.108797528097931639e+00
1.467735470941883724e+00 7.589384959802245589e+00 4.922638303056498188e+00
1.472945891783566941e+00 7.103060627390366477e+00 4.745259001326585846e+00
1.478156312625250379e+00 6.616736294978466049e+00 4.581423943561831358e+00
1.483366733466933818e+00 6.179462558055717203e+00 4.422277277938866824e+00
1.488577154308617256e+00 5.894103484228889300e+00 4.280405430258260147e+00
1.493787575150300473e+00 5.608744410402072944e+00 4.142406004812922760e+00
1.498997995991983911e+00 5.323385336575245042e+00 4.018970257754316933e+00
1.504208416833667350e+00 5.038026262748417139e+00 3.902456637285824481e+00
1.509418837675350566e+00 4.752667188921600783e+00 3.796482110454534098e+00
1.514629258517034005e+00 4.467308115094772880e+00 3.701047521478455948e+00
1.519839679358717444e+00 4.181949041267944978e+00 3.612231033016118253e+00
1.525050100200400660e+00 3.896589967441128621e+00 3.537436656715123640e+00
1.530260521042084099e+00 3.611230893614300275e+00 3.466297933912418472e+00
1.535470941883767537e+00 3.325871819787472372e+00 3.410875227748607852e+00
1.540681362725450754e+00 3.040512745960656460e+00 3.359801381565933998e+00
1.545891783567134192e+00 2.755153672133828113e+00 3.320614419331691991e+00
1.551102204408817631e+00 2.469794598307000211e+00 3.289164066001625031e+00
1.556312625250500847e+00 2.384888757167428430e+00 3.265905416217155910e+00
1.561523046092184286e+00 2.333336805999481012e+00 3.253637171972275421e+00
1.566733466933867724e+00 2.281784854831533149e+00 3.245999403157781238e+00
1.571943887775550941e+00 2.230232903663587951e+00 3.252471884230663690e+00
1.577154308617234379e+00 2.178680952495640533e+00 3.262237688843506955e+00
1.582364729458917818e+00 2.127129001327692670e+00 3.284919387529572798e+00
1.587575150300601035e+00 2.075577050159747472e+00 3.312850581405131667e+00
1.592785571142284473e+00 2.024025098991799609e+00 3.350230866621782599e+00
1.597995991983967912e+00 1.972473147823852191e+00 3.395885086887626692e+00
1.603206412825651128e+00 1.920921196655906993e+00 3.447654824363742154e+00
1.608416833667334567e+00 1.869369245487959352e+00 3.510550771830514005e+00
1.613627254509018005e+00 1.817817294320011712e+00 3.576499542801415021e+00
1.618837675350701222e+00 1.766265343152066514e+00 3.655926750488629029e+00
1.624048096192384660e+00 1.812634849463708120e+00 3.738374086979283195e+00
1.629258517034068099e+00 1.969154671533782652e+00 3.831014358181537460e+00
1.634468937875751315e+00 2.125674493603850745e+00 3.929369680484161798e+00
1.639679358717434754e+00 2.282194315673925278e+00 4.034811666151254528e+00
1.644889779559118193e+00 2.438714137743999810e+00 4.148484394558076715e+00
1.650100200400801409e+00 2.595233959814067681e+00 4.266316745639811892e+00
1.655310621242484848e+00 2.751753781884142214e+00 4.394716300443051615e+00
1.660521042084168286e+00 2.908273603954217190e+00 4.525684434620670160e+00
1.665731462925851503e+00 3.064793426024285061e+00 4.667063469381116825e+00
1.670941883767534941e+00 3.221313248094359594e+00 4.811988619589788740e+00
1.676152304609218380e+00 3.377833070164434126e+00 4.964523972614305336e+00
1.681362725450901596e+00 3.534352892234502441e+00 5.122815559146245867e+00
1.686573146292585035e+00 3.690872714304576974e+00 5.286095881384633266e+00
1.691783567134268473e+00 3.859382918927824591e+00 5.457163324532075421e+00
1.696993987975951690e+00 4.158844029089444838e+00 5.630777266934130054e+00
1.702204408817635128e+00 4.458305139251078408e+00 5.814043775450135954e+00
1.707414829659318567e+00 4.757766249412711090e+00 5.999428334298105625e+00
1.712625250501001783e+00 5.057227359574331338e+00 6.192668597893143279e+00
1.717835671342685222e+00 5.356688469735964908e+00 6.389790529410248610e+00
1.723046092184368661e+00 5.656149579897597590e+00 6.592564714217370003e+00
1.728256513026051877e+00 5.955610690059218726e+00 6.801200919312784698e+00
1.733466933867735316e+00 6.255071800220851408e+00 7.013354336581187454e+00
1.738677354709418754e+00 6.554532910382484090e+00 7.233282726405569463e+00
1.743887775551101971e+00 6.853994020544105226e+00 7.455211357149854834e+00
1.749098196392785409e+00 7.153455130705738796e+00 7.685659173088430052e+00
1.754308617234468848e+00 7.452916240867371478e+00 7.918590499613768152e+00
1.759519038076152286e+00 7.752377351029004160e+00 8.157953481761238024e+00
1.764729458917835503e+00 8.099747541354687996e+00 8.401665415218252164e+00
1.769939879759518941e+00 8.467929723230863459e+00 8.649788874823819640e+00
1.775150300601202380e+00 8.836111905107040698e+00 8.904059326363174875e+00
1.780360721442885596e+00 9.204294086983200174e+00 9.160788574676034912e+00
1.785571142284569035e+00 9.572476268859377413e+00 9.425395455448363435e+00
1.790781563126252474e+00 9.940658450735554652e+00 9.691820265398595424e+00
1.795991983967935690e+00 1.030884063261171413e+01 9.965297024873672527e+00
1.801202404809619129e+00 1.067702281448789137e+01 1.024174722200555543e+01
1.806412825651302567e+00 1.104520499636406683e+01 1.052330711297484811e+01
1.811623246492986006e+00 1.141338717824024407e+01 1.080930345098805567e+01
1.816833667334669222e+00 1.178156936011640354e+01 1.109843776373963209e+01
1.822044088176352661e+00 1.214975154199258078e+01 1.139317522531250049e+01
1.827254509018036099e+00 1.251793372386875802e+01 1.168941887032516291e+01
1.832464929859719316e+00 1.288875452936909127e+01 1.199189714965374876e+01
1.837675350701402754e+00 1.326543682606763852e+01 1.229575599051623946e+01
1.842885771543086193e+00 1.364211912276618754e+01 1.260400378073274652e+01
1.848096192384769410e+00 1.401880141946471880e+01 1.291461402243305479e+01
1.853306613226452848e+00 1.439548371616326783e+01 1.322802967527040430e+01
1.858517034068136287e+00 1.477216601286181508e+01 1.354452752279655670e+01
1.863727454909819503e+00 1.514884830956034634e+01 1.386250938998767346e+01
1.868937875751502942e+00 1.552553060625889536e+01 1.418403104832765571e+01
1.874148296593186380e+00 1.590221290295744438e+01 1.450634980464981716e+01
1.879358717434869597e+00 1.627889519965597742e+01 1.483165915574729610e+01
1.884569138276553035e+00 1.665557749635452467e+01 1.515787578112635359e+01
